class,placeId,score,name_kor,name_eng,latitude,longitude
restaurants,1148306,3.9642857142857135,참숯골,Chamsookgol,37.567097,126.97935
restaurants,11543569,4.666666666666667,오오픈 레스토랑,Oopen Restaurant,37.566387,127.00222
restaurants,11621364,4.0,갓잇,God Eat,37.500965,127.0518
restaurants,11621385,3.25,차찬텡,Cha Chaan Teng,37.53689,126.98836999999999
restaurants,11644697,4.833333333333333,미스피츠,MISFITS Burger & Pub,37.482582,126.98101000000001
restaurants,1166551,4.285714285714286,한우리 한정식,Hanwoori Korean Restaurant,37.521156,127.03473000000001
restaurants,11671916,4.75,송혜자김밥,Song Hyeja Gimbap,37.592415,127.0123
restaurants,11671920,4.625,써니사이드,Sunnyside,37.49344,127.13351399999999
restaurants,11675011,4.571428571428571,Kioku Seoul,Kioku Seoul,37.571,126.97546000000001
restaurants,11693244,4.571428571428571,더크라우드,The Crowd,37.546528,126.92296
restaurants,11704295,4.75,5Extracts,5Extracts,37.534878000000006,126.99761000000001
restaurants,11734384,4.821428571428571,샐러드 브라더스,Salad Brothers,37.558823,126.92504
restaurants,11736270,5.0,라바치치,Lava Chee Chee,37.549805,126.92114
restaurants,11736947,5.0,베네베네,BeneBene,37.506855,127.03273
restaurants,1174970,4.030612244897959,프로 간장 게장 신사점,Pro Ganjang Gejang Sinsa,37.514773999999996,127.01915
restaurants,1174982,4.125,토속촌삼계탕,Tosokchon Samgyetang,37.57775,126.97164
restaurants,1176237,3.5405405405405403,포린 레스토랑,Foreign Restaurant,37.53396,126.99565
restaurants,1176564,4.041666666666667,송원,Song Won,37.559875,127.00523000000001
restaurants,11800883,3.0,카페 포즈,PO:Z KITCHEN,37.508408,127.05868000000001
restaurants,11807492,3.888888888888889,보름쇠,Bo Reum Soei,37.50922,127.05646000000002
restaurants,11807511,3.6060606060606064,유 유안,Yu Yuan,37.570995,126.97546000000001
restaurants,11807527,4.428571428571429,곳간,Gotgan.,37.52219,126.91978999999999
restaurants,11816035,4.5,러스티 스모크하우스,Rusty's Smokehouse,37.534909999999996,126.9921
restaurants,11816054,4.5,러스티 립 하우스,Rusty's Rib House,37.550552,126.91398999999998
restaurants,11824462,5.0,스쿠로,Scuro,37.52069,127.02408999999999
restaurants,11832256,5.0,씨태번,C Tavern,37.561794,126.98793
restaurants,11857518,4.75,나즈드라비,Na Zdravi,37.502148,127.02615
restaurants,11864913,4.608695652173913,노리테이블,Nori Table,37.534492,126.98799
restaurants,11875843,5.0,타이거타이거,Tiger Tiger,37.57577,126.99123999999999
restaurants,11884871,4.727272727272728,가회한경헌,Gallery Cafe Gahoe Hankyunghun,37.583145,126.986725
restaurants,11885525,4.666666666666667,뉴욕아파트먼트,Newyork Apartment Burger Bar,37.54977,126.91958000000001
restaurants,11895284,3.333333333333333,삐삣버거,Pipit Burger,37.537937,127.00178500000001
restaurants,11906759,4.573770491803279,온더그릴 명동,On The Grill Myeongdong,37.559242,126.98585
restaurants,11906772,5.0,로얄인디아,Royal Fine Indian Cuisine,37.541214000000004,126.94898
restaurants,11909695,4.0,경양식1920,Gyeongyangsik 1920,37.57355,126.98953999999999
restaurants,11909804,4.571428571428571,왓어샐러드,What a Salad,37.533924,126.99225
restaurants,11923762,4.384615384615385,우래옥 을지로점,Woolaeoak,37.568054,126.99866999999999
restaurants,1194021,3.533333333333333,마포 진짜 원조 최대포,Mapo Jinjja Wonjo Choidaepo,37.5447,126.95203400000001
restaurants,11948723,4.333333333333333,아메리칸무드,American mood,37.518615999999994,127.030174
restaurants,11950049,3.5294117647058822,명동부산집,Busan Jib Restaurant - Halal,37.563152,126.98482
restaurants,11959106,4.6,세종참치,Sejong Tuna,37.561398,126.98765
restaurants,11959126,5.0,카페그레뱅,Cafe Grevin,37.566159999999996,126.98042
restaurants,11961566,4.4444444444444455,더백푸드트럭,The 100 Food Truck,37.547416999999996,126.98406000000001
restaurants,1196214,4.23111555777889,명동교자 본점,Myeongdong Kyoja Main,37.562542,126.98548000000001
restaurants,1198199,3.615384615384616,삼김 명동 본점,SamKim Myungdong Store,37.561840000000004,126.98716
restaurants,11983467,4.333333333333333,텅앤그루브조인트,Tongue & Groove Joint,37.53396,126.9945
restaurants,11998063,4.166666666666667,느린마을양조장&펍 센터원점,Neurin Maeul Yangjojang & Pub CENTER 1,37.477543,127.00856999999999
restaurants,12004941,2.636363636363636,씽코데마요,Cinco De Mayo,37.55493,126.9304
restaurants,12019716,3.92,쉐이크쉑 청담점,Shake Shack Cheongdam,37.5225,127.03778
restaurants,12058130,3.4,드마리스 대치점,D'Maris Daechi,37.496677000000005,127.07171000000001
restaurants,12097702,4.4,엘리,Ellie,37.573204,126.98987
restaurants,12123645,4.875,죠티인도레스토랑,Jyoti Restaurant Jonggak Seoul,37.56922,126.98666000000001
restaurants,12162579,3.0,브루스브라더쓰,Bruce Brothers,37.561592,126.92721999999999
restaurants,12171650,4.583333333333333,남산다이너앤펍,Namsan Diner&Pub,37.55062,126.97296999999999
restaurants,12171677,5.0,소녀방앗간 커먼그라운드건대점,Sonyeo Bangatgan Common Ground Konkuk University,37.541176,127.06608999999999
restaurants,12204921,4.307692307692308,화해당 여의도점,Hwahaedang Yeouido,37.52966,126.92173999999999
restaurants,12213153,5.0,스시카이신,Sushi Kaisin,37.523967999999996,127.05171000000001
restaurants,12222359,4.5555555555555545,갓덴스시 명동점,Gatten Sushi Myeongdong,37.564327,126.98343999999999
restaurants,12250577,4.611111111111111,부촌육회,Buchon Yukhoe,37.570343,126.99991000000001
restaurants,12257399,3.4285714285714284,크래프트한스 강남직영점,Craft Han's Gangnam,37.518440000000005,127.02335
restaurants,12261567,4.673469387755102,구르카 인도 레스토랑,Gurkha Indian Restaurant,37.56305,126.98523999999999
restaurants,12272097,4.321428571428571,미쓰족발,Myth Jokbal,37.56436,126.983345
restaurants,12273066,4.5,꼬시나 에스파냐,Cocina Espana,37.497738,126.99706
