class,placeId,score,name_kor,name_eng,location
restaurants,10628167,5.0,Vatos Urban Tacos Jamsil,Vatos Urban Tacos Jamsil,"서울 240, Olympic-ro, Songpa-gu"
restaurants,10629636,5.0,"Seoel, Zuid Korea","Seoel, Zuid Korea","서울 31, Donhwamun-ro 11 na-gil"
restaurants,10629731,5.0,오 춘자비어 관철동점,O Chunja Beer Gwancheoldong,서울 종로구 삼일대로17길 15
restaurants,10629750,4.0,사조참치 무교점,Sajo Chamchi Mugyo,서울 중구 남대문로9길 39
restaurants,10629782,3.0,,,서울   195
restaurants,10629796,4.0,,HeeJung Sikdang,서울 영등포구 여의나루로 117
restaurants,10629840,3.333333333333333,,Bibigo,서울   300
restaurants,10630155,4.111111111111111,감성타코앤그릴,Gamsung Taco & Grill,서울 강남구 강남대로162길 31
restaurants,10633905,4.0,오딧세이,Odyssey,서울 마포구 양화로6길 90
restaurants,10663226,5.0,늘마중,Neulmajung,서울 종로구 인사동8길 16-1
restaurants,10669868,4.666666666666667,루이,Luii,서울 중구 세종대로21길 40
restaurants,10677717,4.0,띤띤,Tintin,서울 용산구 회나무로13가길 23-6
restaurants,10677736,2.5,스페인포차비엔,Spain Pocha Bien,서울 중구 퇴계로 188
restaurants,10677791,4.5,금돼지식당,Gold Pig Restaurant,서울 중구 다산로 149
restaurants,10682201,4.5,세븐크래프트,Seven Craft,서울 마포구 독막로5길 33
restaurants,10682225,2.6,인기명 홍대점,Ingimyeong Hongdae,서울 마포구 양화로6길 33
restaurants,10682250,4.230769230769232,공릉닭한마리,Gongneung Dak Hanmari,서울 서대문구 연세로2길 77
restaurants,10686485,3.0,익동다방,Ikdong Dabang,서울 종로구 수표로28길 17-19
restaurants,10692532,2.8571428571428568,제일제면소 서울역사점,Cheiljemyunso Seoul Yeoksa,서울 중구 한강대로 405
restaurants,10699073,3.4285714285714284,"Saint Augustin, Parnas Mall / COEX","Saint Augustin, Parnas Mall / COEX","서울 B1, Parnas Mall"
restaurants,10701167,3.5,호토모토,Hotto Motto,서울 서울 중구 명동9가길 14
restaurants,1070251,3.595744680851064,게코스 가든,Gecko's Garden Restaurant & Bar,서울 용산구 이태원동 116-6
restaurants,10716647,5.0,뱃장,Baetjang,서울 마포구 동교로 212-28
restaurants,10716796,3.8571428571428568,미스터힐링 명동점,Mister Healing Myeongdong,서울 중구 충무로 15
restaurants,10716999,5.0,프로이트,Freud,서울 용산구 이태원로20길 21
restaurants,10717075,3.0,먹쉬돈나 홍대점,Mukshidonna Hongdae,서울 마포구 홍익로6길 22
restaurants,10720521,3.333333333333333,담소소사골순대 가산2호점,Damso Sosagol Sundae Gasan 2-ho,서울 금천구 가산디지털1로 83
restaurants,10720544,4.0,하우,Hawoo,서울 마포구 와우산로13길 19
restaurants,10720597,4.8,치킨버스 구로디지털단지역점,Chicken Bus Guro Digital Complex Station,서울 구로구 디지털로32나길 17-38
restaurants,10735328,3.5,부탄츄,Butanchu,서울 송파구 올림픽로 300
restaurants,10747654,4.333333333333333,항아리수제비,Hangari Sujebi,서울 종로구 인사동7길 12
restaurants,10747760,4.5,봉평메밀면사무소,Bongpyeong Memilmyeon Samuso,서울 성동구 왕십리로5길 9-20
restaurants,10747768,5.0,서울덮밥 코엑스몰점,Seoul Deopbap COEX Mall,서울 강남구 봉은사로 524
restaurants,10747856,5.0,장사랑,Jang Sarang,서울 중구 서소문로11길 19
restaurants,10751104,4.0,백억하누 선릉점,Baekeok Hanu Seolleung,서울 강남구 언주로 508
restaurants,10751151,4.285714285714286,멘쯔,Menzz,서울 종로구 경희궁1길 27
restaurants,10754956,3.0,빌라 드 스파이시,Villa de Spicy,서울 영등포구 영중로 9
restaurants,10754988,2.5,르사이공 타임스퀘어점,Le Saigon Times Square,서울 영등포구 영중로 9
restaurants,10755002,5.0,유노추보,Yuno Chubo,서울 강남구 테헤란로 517
restaurants,10755026,3.5,홍수계찜닭 을지로센터원점,Hong Sugye Jjimdak Euljiro Center 1,서울 중구 을지로5길 26
restaurants,10755131,3.0,광주수산 신당지하쇼핑센터점A,Gwangju Susan Sindang Basement Shopping Center A,서울 중구 퇴계로85길 지하 56
restaurants,10766329,5.0,돌배기집 명동점,Dolbaegijib Myeongdong,서울 중구 명동10길 35-20
restaurants,10768449,5.0,Revolucin,Revolucion,서울 용산구 이태원동 224-56
restaurants,10779217,3.7142857142857135,더플레이스 코엑스몰점,The Place COEX Mall,서울 강남구 영동대로 513
restaurants,10806541,4.083333333333333,BHC치킨,BHC Chicken,서울 종로구 종로14길 11
restaurants,10813671,5.0,까르따19,Carta 19,서울 마포구 동교로 227-1
restaurants,10813701,5.0,찬수씨 싼술을 부탁해,Chansoo-ssi Ssan Sureul Butakhae,서울 강동구 올림픽로70길 61
restaurants,10813731,4.5,경복궁 서교점,Gyeongbokgung Seogyo,서울 마포구 월드컵북로 37
restaurants,10825469,5.0,유미벅스,Yumibucks,서울 강동구 진황도로27길 4
restaurants,10825510,4.333333333333333,김작가의이중생활 신논현역점,Kim Jakgaui Ijung Saenghwal Sinnonhyeon Station,서울 강남구 봉은사로1길 37
restaurants,10825532,4.833333333333333,토마토김밥 대치점,Tomato Gimbap Daechi,서울 강남구 선릉로64길 5
restaurants,10837147,4.333333333333333,삼백집 센트럴시티직영점점,Sambaekjib Central City,서울 서초구 신반포로 176
restaurants,10837160,3.9230769230769234,바나나테이블 이태원점,Banana Table Itaewon,서울 용산구 이태원로 180
restaurants,10845896,5.0,무궁원,Mugungwon,서울 중구 소공로 96
restaurants,10865556,5.0,도담 치킨,Dodam Chicken,서울 송파구 백제고분로7길 50
restaurants,10902927,5.0,창고43,Changgo 43,서울 서울 중구 서소문로 120
restaurants,10910687,5.0,효소원 청순시대 강남본점,Hyosowon Cheongsun Shidae Gangnam Main,서울 강남구 강남대로78길 27
restaurants,10915548,4.142857142857143,블랙스톤 이태원점,Black Stone Itaewon,서울 용산구 이태원로 187
restaurants,10915607,4.5,그랜드앰배서더서울 홍보각,Hong Bo Gak,서울 중구 동호로 287
restaurants,10954332,3.0,카페 존앤진스,Caffe John And Jin's,서울 중구 명동8나길 2
restaurants,10954340,4.0,명우돈가,Myeong U Don Ga,서울 강남구 삼성로96길 6
restaurants,11045700,4.0,스테이크레이브 마리오아울렛점,Steak Rave Mario Outlet,서울 금천구 벚꽃로 266
restaurants,1140407,4.666666666666667,본죽 압구정 로데오점,Bonjuk Apgujeong Rodeo Store,서울 강남구 신사동 660-6
restaurants,1140450,4.285714285714286,인사동 수제비,Insadong Sujebi,서울 종로구 인사동8길 14-1
restaurants,1143865,4.0,Nutrition Centre,Nutrition Centre,서울 Myeong-Dong
restaurants,1144388,3.5,용수산 태평로점,Yongsusan Taepyeongno Store,서울 중구 태평로1가 84 서울파이낸스센터 B1
restaurants,11444299,1.0,조개깡패연구소,Jogae Kkangpae Yeonguso,서울 용산구 새창로 217
