class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
restaurants,10492604,5,더제이케이키친박스 신도림테크노마트점,The JK Kitchen Box Sindorim Techno Mart,서울 구로구 새말로 97,정좌표,,126.890258,37.507117
restaurants,10500981,4,달램,Darlem,서울 동교로 46길 24-5,광역시좌표,,126.977863,37.566412
restaurants,10501091,2,이륙,Ilyuk,서울 마포구 월드컵로5길 74,정좌표,,126.908456,37.550689
restaurants,10501145,4,메스테이블,Mess Table,서울 종로구 종로 33,정좌표,,126.981771,37.571266
restaurants,10501157,3.666666667,지유가오카핫초메 그랑서울점,Jiyugaoka 8-chome Geurang Seoul,서울 종로구 종로 33,정좌표,,126.981771,37.571266
restaurants,10506740,4.8,로꼬로꼬조개찜,Loco Loco Seafood,서울 서초구 잠원동 26-10,정좌표,,127.018619,37.514245
restaurants,10509789,4.875,운니사랑방,Unni Sarangbang,서울 종로구 삼일대로32길 49-9,정좌표,,126.989575,37.57591
restaurants,10513954,4.666666667,부지캣,Boozy Cat Pub and Taphouse,서울 강남구 논현로151길 55,정좌표,,127.023663,37.519504
restaurants,10517274,2.5,예소원,Yesowon,서울 서대문구 성산로 535,정좌표,,126.944794,37.564391
restaurants,10520656,4,쿤스트테이블,Kunst Table,서울 성동구 성수이로7길 27,정좌표,,127.053407,37.541578
restaurants,10520669,3,니하우,Nihau,서울 금천구 벚꽃로38길 32-43,정좌표,,126.885195,37.482552
restaurants,10523385,4,나이스투미츄 서울천호점,Nice Two Meat U Seoul Cheonho,서울 강동구 천호대로155길 13,정좌표,,127.125987,37.538687
restaurants,10536122,5,BBQ치킨 합정스타점,BBQ Chicken Hapjeong Star,서울 마포구 양화로8길 5,정좌표,,126.915927,37.550524
restaurants,10536306,3,야끼화로 상암점,Yakihwalo Sangam,서울 마포구 월드컵북로48길 19,정좌표,,126.894711,37.577106
restaurants,10536327,3.2,파리크라상키친올림픽공원점,Paris Croissant Kitchen Olympic Park,서울 송파구 올림픽로 424,정좌표,,127.115397,37.520352
restaurants,10536417,4.4,버거쑈,Burger Sshow,서울 성동구 마조로 35,정좌표,,127.041143,37.560834
restaurants,10536469,2,왕배화로,Wangbae Hwaro,서울 서초구 방배천로 12-9,정좌표,,126.983495,37.477636
restaurants,10536473,4,흑산도홍어,Heuksando Hongeo,서울 서초구 방배천로 40-2,정좌표,,126.982714,37.480143
restaurants,10536481,5,김밥천국 상도터널점,Gimbap Cheonguk Sangdo Tunnel,서울 동작구 노량진로 250,정좌표,,126.95423,37.511998
restaurants,10537425,4,한우리 센트럴시티점,Hanwoori Central City,서울 서초구 사평대로 205,정좌표,,127.007056,37.504174
