class,placeId,score,name_kor,name_eng,location
hotels,1462343,4.05,메이트 호텔 서울,Mate Hotel Seoul,"37.52993,126.84094"
hotels,1465296,4.476454293628809,롯데 시티 호텔 마포,Lotte City Hotel Mapo,"37.544697,126.950714"
hotels,1467802,3.357142857142857,아모렉스 호텔,Amourex Hotel,"37.563698,127.03532"
hotels,14789575,4.0,수송 게스트 하우스,Soo Song Guest House,"37.573017,126.981155"
hotels,1499077,3.764705882352941,호텔 대우인,Hotel Daewoo Inn,"37.56286,126.97801"
hotels,1535250,3.975,토요코 인 서울 동대문,Toyoko Inn Seoul Dongdaemun,"37.564495,127.00914"
hotels,1557869,4.371428571428571,코트야드 메리어트 서울 타임스퀘어,Courtyard by Marriott Seoul Times Square,"37.517864,126.90402"
hotels,1569561,3.8,시티 파크 호텔,,"37.576466,126.98982"
hotels,1575192,3.6,그레이프 가든 하우스,,"37.554188,126.92647"
hotels,1625995,4.418181818181818,봉 하우스,Bong House,"37.584225,126.99701"
hotels,1626230,4.4,백패커스 인사이드,,"37.584476,126.99776"
hotels,1640728,4.630872483221476,더 클래식 500 이그제큐티브 레지던스 펜타즈,The Classic 500 Executive Residence Pentaz,"37.538776,127.07108"
hotels,1643621,3.7142857142857144,강남 아르누보 씨티 II,,"37.49342,127.02796"
hotels,1644474,4.333333333333333,굿스테이 피터캣 호텔 인사동,Goodstay Petercat Hotel Insadong,"37.574947,126.98942"
hotels,1653156,4.084677419354839,임피리얼 팰리스 부티크 호텔,Imperial Palace Boutique Hotel,"37.53517,126.99839"
hotels,1657213,3.5555555555555554,호텔 마레,Hotel Mare,"37.56354,127.057625"
hotels,1718120,4.4,M. 비즈 호텔,,"37.507664,127.055244"
hotels,1741199,3.064516129032258,고궁 호텔,Gogung Hotel,"37.575375,126.997284"
hotels,1745679,3.0,행복한 눈물 호텔,Amfree Hotel,"37.56949,127.0697"
hotels,1745681,3.4,아미가 모텔,,"37.572754,126.99943"
hotels,1745757,3.0,갤러리아 호텔,,"37.495945,126.84566"
hotels,1745764,3.7333333333333334,호텔 트리아,Tria Hotel,"37.503063,127.03958"
hotels,1745768,4.4,상주호텔,,"37.510017,127.08054"
hotels,1745779,4.6,세화 호스텔,,"37.574715,126.99028"
hotels,1749320,2.6,노블레스 관광 호텔,,"37.65513,127.05934"
hotels,1754759,4.375,모텔B,Motel B,"37.56771,126.969086"
hotels,1815319,3.4545454545454546,준희빈 호텔,Boutique Hotel Juni Bin,"37.548344,126.91118"
hotels,1887763,3.25,호텔 비즈 종로 인사동,,"37.573334,126.9884"
hotels,1903752,4.880794701986755,컴인 게스트하우스,Come Inn Guesthouse,"37.552704,126.92292"
hotels,1905601,4.125,호텔 스카이파크 명동 I,,"37.561417,126.9842"
hotels,1987696,4.70873786407767,베스트 웨스턴 프리미어 구로 호텔,,"37.483154,126.89897"
hotels,1996081,4.5,김치 홍대 게스트하우스,,"37.558956,126.919876"
hotels,2054116,4.0,호텔야자 종로점,,"37.57288,126.98892"
hotels,2100902,4.2368421052631575,라까사호텔,Hotel La Casa,"37.52219,127.01927"
hotels,2103201,4.776315789473684,스튜디오 41st,Studio 41st,"37.561543,126.921684"
hotels,2150227,1.0,오슬로호텔,Oslo Hotel,"37.48608,127.0129"
hotels,2150290,4.090909090909091,히트 호텔,Hit Hotel,"37.511242,127.0797"
hotels,2150334,3.5,호텔 톰지,Hotel Tomgi,"37.500626,127.0391"
hotels,2150439,4.0,호텔 스토리,Hotel Story,"37.58203,127.02106"
hotels,2150692,4.117647058823529,녹스 호텔,Nox Hotel,"37.502586,127.03969"
hotels,2151168,3.5384615384615383,라마다 서울 동대문,Ramada Seoul Dongdaemun,"37.56586,127.002525"
hotels,2153731,3.8,윤게스트하우스,Yun Guest House,"37.558086,126.98469"
hotels,2159977,4.497572815533981,쉐라톤 서울 디큐브 시티 호텔,Sheraton Seoul D Cube City Hotel,"37.509,126.88978"
hotels,2179387,3.8,나나 레지던스,,"37.5618,126.98797"
hotels,2179397,4.0,마마 게스트하우스 명동,Mama Guesthouse Myeongdong,"37.558475,126.98837"
hotels,2202393,3.7142857142857144,호텔 아드리게,Hotel Adlige,"37.500793,127.038895"
hotels,2202395,3.978723404255319,호텔 스카이파크 명동 II,Hotel Skypark Myeongdong II,"37.564716,126.98482"
hotels,2202400,4.090909090909091,호텔 스카이파크 명동 III,Hotel Skypark Myeongdong III,"37.561356,126.987236"
hotels,2210698,3.3636363636363638,호텔 코지 명동,Hotel Cozy Myoungdong,"37.560642,126.97938"
hotels,2212705,4.391304347826087,두 게스트하우스 북촌 1,Doo guesthouse Bukchon,"37.579468,126.98647"
hotels,2226404,2.5,H2O 게스트하우스,H2O Guesthouse,"37.566883,126.994995"
hotels,2233911,4.377777777777778,호텔 아르누보 서초,,"37.496033,127.02087"
hotels,2258766,3.9166666666666665,대한장 모텔,Daehanjang Motel,"37.560787,126.99509"
hotels,2293670,2.0,리즈 호텔,Liz Hotel,"37.49228,127.01347"
hotels,2301772,2.5277777777777777,리버사이드 호텔 서울,The Riverside Hotel Seoul,"37.518574,127.01814"
hotels,2303934,4.6,자자 백팩커스 호스텔,Zaza Backpackers Hostel,"37.558784,126.9864"
hotels,2314093,3.526315789473684,뉴월드호텔,Hotel New World,"37.544285,126.97345"
hotels,2314103,4.0,밀라노 모텔,Milano Motel,"37.56427,127.03621"
hotels,2337202,4.157894736842105,호텔 아마레,Hotel Amare,"37.57149,126.9897"
hotels,2337371,3.5,비브클래식호텔,Hotel VIV Classic,"37.568287,127.06923"
hotels,2367780,3.25,호텔 아이린 시티,Hotel Irene City,"37.5621,126.97806"
hotels,2393710,3.9315068493150687,스탠포드 호텔 서울,Stanford Hotel Seoul,"37.581818,126.88676"
hotels,2415959,2.6666666666666665,벤허모텔,Motel Benhur,"37.57177,127.000305"
hotels,2457276,3.6,굿스테이 피터캣호텔 홍대,,"37.553665,126.93586"
hotels,2471997,4.392857142857143,대림 레지던스,Daelim Residence,"37.498734,126.88258"
hotels,2472017,5.0,비하우스,,"37.56263,126.92355"
hotels,2508404,4.7482993197278915,롯데 시티 호텔 김포공항,,"37.564026,126.80233"
hotels,2537406,3.7,충무로 레지던스 호텔,Chungmuro Residence &amp; Hotel,"37.562542,126.99938"
hotels,2537451,3.0,투비인호텔,Two Be In Hotel,"37.53756,127.13866"
hotels,2537498,3.5,더 뷰 호텔,,"37.516174,127.11156"
hotels,2537527,3.4545454545454546,렉스 관광 호텔,LEX Tourist Hotel,"37.514362,127.020454"
hotels,2539264,4.35,문 게스트하우스,Moon Guesthouse,"37.576065,126.98851"
hotels,2539382,3.0,초콜릿호텔,,"37.497192,127.02918"
hotels,2539454,4.0,캘리포니아 호텔 서울 서초,,"37.485107,127.01464"
hotels,2635666,3.8,호텔 GS,,"37.56909,126.99207"
hotels,2641870,4.0625,보그 호텔,Vogue Hotel,"37.55311,126.93594"
hotels,2641878,4.5,신촌 Y,Shinchon Y,"37.5534,126.936165"
hotels,2642164,3.0,리베라 모텔,Riviera Motel,"37.553642,126.93644"
hotels,2642177,3.5714285714285716,호텔 스타,Hotel Star,"37.499535,127.03545"
hotels,2642183,3.5,앳눈 호텔,,"37.553864,126.935974"
hotels,2642273,2.0,아나 호텔,,"37.501152,127.04054"
hotels,2658455,4.8,초콜렛 트리,,"37.55336,126.9352"
hotels,2658471,4.6,달콤 게스트하우스,,"37.56348,126.99671"
hotels,2662475,3.857142857142857,팝 호텔 1,Pop Hotel 1,"37.570946,126.98995"
hotels,299152,3.9859154929577465,베스트웨스턴프리미어서울가든호텔,Best Western Premier Seoul Garden Hotel,"37.540817,126.94821"
hotels,299154,4.366666666666666,인터컨티넨탈 서울 코엑스,InterContinental Seoul COEX,"37.513355,127.057365"
hotels,299502,3.621212121212121,뉴서울 호텔,New Seoul Hotel,"37.56792,126.97804"
hotels,299504,3.1052631578947367,호텔 비젼,Hotel Vision,"37.564575,127.03632"
hotels,299505,2.769230769230769,호텔 동대문,Hotel Dongdaemun,"37.57092,127.01015"
hotels,299533,4.205970149253731,이비스 스타일 앰배서더 서울 강남,ibis styles Ambassador Seoul Gangnam,"37.505074,127.05708"
hotels,299536,4.265486725663717,노보텔 앰배서더 서울 강남 호텔,Novotel Ambassador Seoul Gangnam,"37.505363,127.02844"
hotels,299537,4.288288288288288,그랜드 앰배서더 서울 어소시에이티드 풀만 호텔,,"37.560192,127.00236"
hotels,299538,4.404109589041096,노보텔 앰배서더 독산,Novotel Ambassador Seoul Doksan,"37.46746,126.898"
hotels,301253,4.510588235294118,서울신라호텔,The Shilla Seoul,"37.556087,127.00512"
hotels,301605,4.725609756097561,오크우드 프리미어 코엑스 센터,,"37.51089,127.05813"
