class,placeId,score,name_kor,name_eng,latitude,longitude
restaurants,11864913,4.608695652173913,노리테이블,Nori Table,37.534492,126.98799
restaurants,11875843,5.0,타이거타이거,Tiger Tiger,37.57577,126.99124
restaurants,11884871,4.7272727272727275,가회한경헌,Gallery Cafe Gahoe Hankyunghun,37.583145,126.986725
restaurants,11885525,4.666666666666667,뉴욕아파트먼트,Newyork Apartment Burger Bar,37.54977,126.91958
restaurants,11895284,3.3333333333333335,삐삣버거,Pipit Burger,37.537937,127.001785
restaurants,11906759,4.573770491803279,온더그릴 명동,On The Grill Myeongdong,37.559242,126.98585
restaurants,11906772,5.0,로얄인디아,Royal Fine Indian Cuisine,37.541214,126.94898
restaurants,11909695,4.0,경양식1920,Gyeongyangsik 1920,37.57355,126.98954
restaurants,11909804,4.571428571428571,왓어샐러드,What a Salad,37.533924,126.99225
restaurants,11923762,4.384615384615385,우래옥 을지로점,Woolaeoak,37.568054,126.99867
restaurants,1194021,3.533333333333333,마포 진짜 원조 최대포,Mapo Jinjja Wonjo Choidaepo,37.5447,126.952034
restaurants,11948723,4.333333333333333,아메리칸무드,American mood,37.518616,127.030174
restaurants,11950049,3.5294117647058822,명동부산집,Busan Jib Restaurant - Halal,37.563152,126.98482
restaurants,11959106,4.6,세종참치,Sejong Tuna,37.561398,126.98765
restaurants,11959126,5.0,카페그레뱅,Cafe Grevin,37.56616,126.98042
restaurants,11961566,4.444444444444445,더백푸드트럭,The 100 Food Truck,37.547417,126.98406
restaurants,1196214,4.23111555777889,명동교자 본점,Myeongdong Kyoja Main,37.562542,126.98548
restaurants,1198199,3.6153846153846154,삼김 명동 본점,SamKim Myungdong Store,37.56184,126.98716
restaurants,11983467,4.333333333333333,텅앤그루브조인트,Tongue & Groove Joint,37.53396,126.9945
restaurants,11998063,4.166666666666667,느린마을양조장&펍 센터원점,Neurin Maeul Yangjojang & Pub CENTER 1,37.477543,127.00857
restaurants,12004941,2.6363636363636362,씽코데마요,Cinco De Mayo,37.55493,126.9304
restaurants,12019716,3.92,쉐이크쉑 청담점,Shake Shack Cheongdam,37.5225,127.03778
restaurants,12058130,3.4,드마리스 대치점,D'Maris Daechi,37.496677,127.07171
restaurants,12097702,4.4,엘리,Ellie,37.573204,126.98987
restaurants,12123645,4.875,죠티인도레스토랑,Jyoti Restaurant Jonggak Seoul,37.56922,126.98666
restaurants,12162579,3.0,브루스브라더쓰,Bruce Brothers,37.561592,126.92722
restaurants,12171650,4.583333333333333,남산다이너앤펍,Namsan Diner&Pub,37.55062,126.97297
restaurants,12171677,5.0,소녀방앗간 커먼그라운드건대점,Sonyeo Bangatgan Common Ground Konkuk University,37.541176,127.06609
restaurants,12204921,4.3076923076923075,화해당 여의도점,Hwahaedang Yeouido,37.52966,126.92174
restaurants,12213153,5.0,스시카이신,Sushi Kaisin,37.523968,127.05171
restaurants,12222359,4.555555555555555,갓덴스시 명동점,Gatten Sushi Myeongdong,37.564327,126.98344
restaurants,12250577,4.611111111111111,부촌육회,Buchon Yukhoe,37.570343,126.99991
restaurants,12257399,3.4285714285714284,크래프트한스 강남직영점,Craft Han's Gangnam,37.51844,127.02335
restaurants,12261567,4.673469387755102,구르카 인도 레스토랑,Gurkha Indian Restaurant,37.56305,126.98524
restaurants,12272097,4.321428571428571,미쓰족발,Myth Jokbal,37.56436,126.983345
restaurants,12273066,4.5,꼬시나 에스파냐,Cocina Espana,37.497738,126.99706
restaurants,12287467,4.857142857142857,이태원더버거,Itaewon The Burger,37.53361,126.99
restaurants,12318462,3.8,Olprima,Olprima,37.537945,126.99944
restaurants,12327289,3.1,구스아일랜드브루하우스,Goose Island Brewhouse,37.493526,127.03212
restaurants,12327314,4.5,스믓스,Sumussu,37.554615,126.903366
restaurants,12327419,4.0,낭만치맥 마곡나루점,Romantic Chi-mac Magongnaru,37.568146,126.82675
