class,placeId,score,name_kor,name_eng,location
attractions,7738848,3.0,디보 빌리지,Dibo Village,서울 중구 청계천로 400
attractions,7891673,4.2,일민미술관,Ilmin Museum of Art,서울 종로구 청계천로 1 세종로
attractions,7891676,3.7777777777777777,가든파이브,Garden 5,서울 송파구 충민로 66
attractions,7891834,4.0,광진교8번가,Riverview 8th Avenue,서울 강동구 선사로 4
attractions,7891907,3.571428571428572,포스코센터,POSCO Art Museum,서울 강남구 테헤란로 440
attractions,7891908,3.2857142857142856,국립서울과학관,The Seoul National Science Museum,서울 종로구 창경궁로 215
attractions,7891913,4.0,난지미술창작스튜디오,Nanji Art Studio,서울 마포구 하늘공원로 108
attractions,7891916,5.0,아르코 예술 극장,Arko Arts Theater,서울 종로구 대학로8길 7
attractions,7891917,4.25,약현성당,Yakhyeon Catholic Church,서울 중구 청파로 447-1
attractions,7891918,4.333333333333333,소마미술관,Soma Museum of Art,서울 송파구 올림픽로 424
attractions,7891933,5.0,갤러리 학고재,Hakgojae Gallery,서울 종로구 삼청로 50
attractions,7891934,4.125,성곡미술관,Sungkok Art Museum,서울 종로구 경희궁길 42
attractions,7891943,4.571428571428571,몽촌토성,Mongchontoseong Fortress,서울 송파구 올림픽로 424
attractions,7891945,3.5,하이브랜드 프리미엄 아울렛,Hi Brand Premium Outlet,서울 서초구 매헌로 16
attractions,7891946,4.777777777777779,서울성공회성당,Seoul Anglican Cathedral,서울 중구 세종대로21길 15
attractions,7891951,3.8,엠플라자,M Plaza,서울 중구 명동8길 27
attractions,7891956,4.0,가락시장,Garak Market,서울 송파구 양재대로 932
attractions,7891981,5.0,김종영미술관,Kim Chong Yung Museum,서울 종로구 평창32길 30
attractions,7891989,3.333333333333333,윤봉길 의사 기념관,The Memorial to the Patriot Yun Bonggil,서울 서초구 매헌로 99
attractions,7892011,4.285714285714286,길동생태공원,Gildong Ecological Park,서울 강동구 천호대로 1298
attractions,7892016,4.2,뚝섬 아름다운 나눔장터,Ttukseom Flea Market,서울 광진구 강변북로 139
attractions,7892033,4.0,방학동 도깨비시장,Banghak Dokkaebi Market,서울 도봉구 도당로13다길 29
