class,placeId,name_kor,name_eng,latitude,longitude
hotels,1626230,백패커스 인사이드,,37.584476,126.99776
hotels,1640728,더 클래식 500 이그제큐티브 레지던스 펜타즈,The Classic 500 Executive Residence Pentaz,37.538776,127.07108
hotels,1643621,강남 아르누보 씨티 II,,37.49342,127.02796
hotels,1644474,굿스테이 피터캣 호텔 인사동,Goodstay Petercat Hotel Insadong,37.574947,126.98942
hotels,1653156,임피리얼 팰리스 부티크 호텔,Imperial Palace Boutique Hotel,37.53517,126.99839
hotels,1657213,호텔 마레,Hotel Mare,37.56354,127.057625
hotels,1718120,M. 비즈 호텔,,37.507664,127.055244
hotels,1741199,고궁 호텔,Gogung Hotel,37.575375,126.997284
hotels,1745679,행복한 눈물 호텔,Amfree Hotel,37.56949,127.0697
hotels,1745681,아미가 모텔,,37.572754,126.99943
hotels,1745757,갤러리아 호텔,,37.495945,126.84566
hotels,1745764,호텔 트리아,Tria Hotel,37.503063,127.03958
hotels,1745768,상주호텔,,37.510017,127.08054
hotels,1745779,세화 호스텔,,37.574715,126.99028
hotels,1749320,노블레스 관광 호텔,,37.65513,127.05934
hotels,1754759,모텔B,Motel B,37.56771,126.969086
hotels,1815319,준희빈 호텔,Boutique Hotel Juni Bin,37.548344,126.91118
hotels,1887763,호텔 비즈 종로 인사동,,37.573334,126.9884
hotels,1903752,컴인 게스트하우스,Come Inn Guesthouse,37.552704,126.92292
hotels,1905601,호텔 스카이파크 명동 I,,37.561417,126.9842
hotels,1987696,베스트 웨스턴 프리미어 구로 호텔,,37.483154,126.89897
hotels,1996081,김치 홍대 게스트하우스,,37.558956,126.919876
hotels,2054116,호텔야자 종로점,,37.57288,126.98892
hotels,2100902,라까사호텔,Hotel La Casa,37.52219,127.01927
hotels,2103201,스튜디오 41st,Studio 41st,37.561543,126.921684
hotels,2150227,오슬로호텔,Oslo Hotel,37.48608,127.0129
hotels,2150233,아이엠티 호텔,Imt Hotel,37.48679,127.013
hotels,2150290,히트 호텔,Hit Hotel,37.511242,127.0797
hotels,2150334,호텔 톰지,Hotel Tomgi,37.500626,127.0391
hotels,2150439,호텔 스토리,Hotel Story,37.58203,127.02106
hotels,2150692,녹스 호텔,Nox Hotel,37.502586,127.03969
hotels,2151168,라마다 서울 동대문,Ramada Seoul Dongdaemun,37.56586,127.002525
hotels,2153731,윤게스트하우스,Yun Guest House,37.558086,126.98469
hotels,2159977,쉐라톤 서울 디큐브 시티 호텔,Sheraton Seoul D Cube City Hotel,37.509,126.88978
hotels,2179387,나나 레지던스,,37.5618,126.98797
hotels,2179397,마마 게스트하우스 명동,Mama Guesthouse Myeongdong,37.558475,126.98837
hotels,2202393,호텔 아드리게,Hotel Adlige,37.500793,127.038895
hotels,2202395,호텔 스카이파크 명동 II,Hotel Skypark Myeongdong II,37.564716,126.98482
hotels,2202400,호텔 스카이파크 명동 III,Hotel Skypark Myeongdong III,37.561356,126.987236
hotels,2210698,호텔 코지 명동,Hotel Cozy Myoungdong,37.560642,126.97938
hotels,2212705,두 게스트하우스 북촌 1,Doo guesthouse Bukchon,37.579468,126.98647
hotels,2226404,H2O 게스트하우스,H2O Guesthouse,37.566883,126.994995
hotels,2233911,호텔 아르누보 서초,,37.496033,127.02087
hotels,2258766,대한장 모텔,Daehanjang Motel,37.560787,126.99509
hotels,2293670,리즈 호텔,Liz Hotel,37.49228,127.01347
hotels,2301772,리버사이드 호텔 서울,The Riverside Hotel Seoul,37.518574,127.01814
hotels,2303934,자자 백팩커스 호스텔,Zaza Backpackers Hostel,37.558784,126.9864
hotels,2314093,뉴월드호텔,Hotel New World,37.544285,126.97345
hotels,2314103,밀라노 모텔,Milano Motel,37.56427,127.03621
hotels,2337202,호텔 아마레,Hotel Amare,37.57149,126.9897
hotels,2337371,비브클래식호텔,Hotel VIV Classic,37.568287,127.06923
hotels,2367780,호텔 아이린 시티,Hotel Irene City,37.5621,126.97806
hotels,2393710,스탠포드 호텔 서울,Stanford Hotel Seoul,37.581818,126.88676
hotels,2415959,벤허모텔,Motel Benhur,37.57177,127.000305
hotels,2457276,굿스테이 피터캣호텔 홍대,,37.553665,126.93586
hotels,2471997,대림 레지던스,Daelim Residence,37.498734,126.88258
hotels,2472017,비하우스,,37.56263,126.92355
hotels,2508404,롯데 시티 호텔 김포공항,,37.564026,126.80233
hotels,2537406,충무로 레지던스 호텔,Chungmuro Residence &amp; Hotel,37.562542,126.99938
hotels,2537451,투비인호텔,Two Be In Hotel,37.53756,127.13866
hotels,2537498,더 뷰 호텔,,37.516174,127.11156
hotels,2537527,렉스 관광 호텔,LEX Tourist Hotel,37.514362,127.020454
hotels,2539264,문 게스트하우스,Moon Guesthouse,37.576065,126.98851
hotels,2539382,초콜릿호텔,,37.497192,127.02918
hotels,2539454,캘리포니아 호텔 서울 서초,,37.485107,127.01464
hotels,2542837,킴스 패밀리 게스트하우스,,37.55579,126.91896
hotels,2635666,호텔 GS,,37.56909,126.99207
hotels,2641870,보그 호텔,Vogue Hotel,37.55311,126.93594
hotels,2641878,신촌 Y,Shinchon Y,37.5534,126.936165
hotels,2642150,아모텔,,37.554134,126.93646
hotels,2642164,리베라 모텔,Riviera Motel,37.553642,126.93644
hotels,2642177,호텔 스타,Hotel Star,37.499535,127.03545
hotels,2642183,앳눈 호텔,,37.553864,126.935974
hotels,2642273,아나 호텔,,37.501152,127.04054
hotels,2658455,초콜렛 트리,,37.55336,126.9352
hotels,2658471,달콤 게스트하우스,,37.56348,126.99671
hotels,2662475,팝 호텔 1,Pop Hotel 1,37.570946,126.98995
hotels,299152,베스트웨스턴프리미어서울가든호텔,Best Western Premier Seoul Garden Hotel,37.540817,126.94821
hotels,299154,인터컨티넨탈 서울 코엑스,InterContinental Seoul COEX,37.513355,127.057365
hotels,299502,뉴서울 호텔,New Seoul Hotel,37.56792,126.97804
hotels,299504,호텔 비젼,Hotel Vision,37.564575,127.03632
hotels,299505,호텔 동대문,Hotel Dongdaemun,37.57092,127.01015
hotels,299533,이비스 스타일 앰배서더 서울 강남,ibis styles Ambassador Seoul Gangnam,37.505074,127.05708
hotels,299536,노보텔 앰배서더 서울 강남 호텔,Novotel Ambassador Seoul Gangnam,37.505363,127.02844
hotels,299537,그랜드 앰배서더 서울 어소시에이티드 풀만 호텔,,37.560192,127.00236
hotels,299538,노보텔 앰배서더 독산,Novotel Ambassador Seoul Doksan,37.46746,126.898
hotels,301253,서울신라호텔,The Shilla Seoul,37.556087,127.00512
hotels,301605,오크우드 프리미어 코엑스 센터,,37.51089,127.05813
hotels,301815,서울 웨스틴 조선 호텔,The Westin Chosun Seoul,37.56446,126.9798
hotels,301817,그랜드 워커힐 서울,Grand Walkerhill Seoul,37.555775,127.11091
hotels,302237,르 메르디앙 서울,Le Meridien Seoul,37.505142,127.02739
hotels,306105,임피리얼 팰리스 서울,,37.514023,127.03588
hotels,306113,오라카이 인사동 스위츠,Orakai Insadong Suites,37.57327,126.98718
hotels,306114,그랜드 힐튼 서울,Grand Hilton Seoul,37.59,126.934746
hotels,306115,그랜드 하얏트 서울,,37.540142,126.997154
hotels,306118,그랜드 인터컨티넨탈 서울 파르나스,Grand InterContinental Seoul Parnas,37.508766,127.06103
hotels,306123,인사동 크라운호텔,Insadong Crown Hotel,37.573742,126.98795
hotels,306125,크라운 호텔 이태원,Crown Hotel Itaewon,37.531387,126.99058
hotels,306126,호텔 피제이 명동,,37.56476,126.99569
hotels,306127,코리아나 호텔,Koreana Hotel,37.568016,126.97659
hotels,306128,롯데 호텔 월드,,37.51177,127.1003
hotels,306130,롯데 호텔 서울,Lotte Hotel Seoul,37.56577,126.98074
hotels,306132,밀레니엄 서울 힐튼,,37.55531,126.97582
hotels,306136,호텔 프레지던트,Hotel President,37.565567,126.9794
hotels,306139,더 플라자,,37.56463,126.978065
hotels,306145,로얄 호텔 서울,,37.564217,126.98564
hotels,306168,호텔 리베라,Hotel Riviera,37.523968,127.05478
hotels,307024,게스트하우스 코리아,Guesthouse Korea,37.576668,126.99103
hotels,307032,서울 백팩커스,Seoul Backpackers,37.557167,126.97717
hotels,307040,켄싱턴 호텔 여의도,Kensington Hotel Yoido,37.53051,126.92216
hotels,307042,서울 YMCA 관광호텔,Seoul YMCA Tourist Hotel,37.570198,126.98536
hotels,308007,세종 호텔,Sejong Hotel,37.561127,126.98807
hotels,309826,해밀톤 호텔,Hamilton Hotel Seoul,37.534782,126.993996
hotels,3136705,에어호스텔 서울,Air Hostel Seoul,37.571625,127.00347
hotels,3154945,뉴 힐탑 호텔,New Hilltop Hotel,37.51125,127.03197
hotels,3154953,머큐어 서울 앰배서더 강남 쏘도베,Mercure Seoul Ambassador Gangnam Sodowe,37.5015,127.03552
hotels,3161529,해피 가든 게스트하우스,,37.55804,126.98586
hotels,3164518,제이비스 호텔,,37.50515,127.05283
hotels,3164521,남현당 게스트하우스,Namhyundang Guesthouse,37.5738,126.98539
hotels,3189967,DH 네상스 호텔,DH Naissance Hotel,37.592617,127.01854
hotels,3191662,에이블 호스텔 동대문,Able Hostel in Dongdaemun,37.565037,127.00527
hotels,3197505,해밀 한옥 게스트하우스,,37.57661,126.99132
hotels,3218799,엘름 트리 게스트하우스,Elm Tree Guest House,37.5615,126.97852
hotels,323987,호텔 프린스 서울,Prince Hotel Seoul,37.560825,126.98641
hotels,3249513,명동 에코 게스트하우스,,37.560448,126.98659
hotels,3295599,곳,The Place Seoul,37.579655,126.987366
hotels,3326049,취운정,Chiwoonjung,37.583202,126.9835
hotels,3344577,티파니 호텔,,37.548,126.82001
hotels,3346189,케이팝 레지던스 명동 1,K-POP Residence Myeongdong 1,37.563442,126.98522
hotels,3356431,블루밍 서비스드 레지던스 호텔,Blooming Serviced Residence Hotel,37.500706,127.03883
hotels,3356500,베스틴 레지던스 명동,,37.56038,126.98712
hotels,3358813,나인 스타 호텔,,37.556465,126.93798
hotels,3358977,케이팝 게스트하우스 서울역,,37.553226,126.97458
hotels,3368813,호텔 첼로,Hotel Cello,37.486168,127.0135
hotels,3368857,게스트하우스 명동,,37.56113,126.9876
