class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
attractions,13436805,4.333333333,김포공항 전망대,Gimpo International Airport Observatory Deck,서울 강서구 하늘길 78,정좌표,,126.799694,37.560905
attractions,13553491,4,종로홍보관,Jongno Public Relations Hall,서울 종로구 종로3길 24-29,정좌표,,126.980034,37.571593
attractions,13956902,4,사모바위,Samo Bawi,서울 종로구 진흥로 449,정좌표,,126.958477,37.607609
attractions,13999912,4,강남스타일 말춤 무대,Gangnam Style Horse Dance Stage,서울 강남구 강남대로 406,정좌표,,127.027629,37.498947
attractions,2269011,4,문묘,Munmyo,서울 종로구 성균관로 31,정좌표,,126.996692,37.585495
attractions,3805417,4,리아나 화장박물관,Coreana Art & Culture Complex,서울 강남구 언주로 827,정좌표,,127.032767,37.524057
attractions,3805419,4.666666667,한국미술박물관,Museum of Korean Art,서울 종로구 창덕궁길 73,정좌표,,126.988933,37.580734
attractions,3805517,4,태릉,Taereung,서울 노원구 화랑로 681,정좌표,,127.097455,37.630153
attractions,3805519,4.625,진관사,Jingwansa Temple,서울 은평구 진관길 73,정좌표,,126.946474,37.637957
attractions,3805557,5,로봇 박물관,Robot Museum,서울 종로구 동숭동 1-44번지,정좌표,,127.003576,37.582967
attractions,3805584,3,이화장,Ihwajang House,서울 종로구 이화동 1-2,정좌표,,127.006632,37.577956
attractions,3805602,4.75,헌릉과 인릉,Heolleung / Illeung,서울 서초구 헌인릉길 34,정좌표,,127.082348,37.46437
attractions,3805624,3.666666667,북촌 생활사박물관,Bukchon Museum Old Fragrance,서울 종로구 북촌로5나길 90,정좌표,,126.982961,37.584413
attractions,3805629,4.25,구러시아 공사관,Former Russian Legation,서울 중구 정동길 21-18,정좌표,,126.971507,37.567672
attractions,3805630,4,숙정문,Sukjeongmun Gate,서울 성북구 성북동 산 25-22,정좌표,,126.983206,37.594741
attractions,3808276,4.5,혜화문 (홍화문),Hyehwamun Gate (Honghwamun),서울 종로구 창경궁로 185,정좌표,,126.99487,37.579542
